xy_id,group_block,Grouped,Aquifer_Units,start_x,start_y,start_z,end_z,Top_Screen_Elev,Bottom_Screen_Elev,bh_id,model_unit,model_unit_4_lay
2945333.482_-217806.097,8,Aquifer,Wahpeton,2945333.482,-217806.0972,805.64175,723.64175,,,bh_218,WBV,WBV
2945333.482_-217806.097,9,Bedrock,,2945333.482,-217806.0972,723.64175,720.64175,,,bh_218,DC,DC
2945404.381_-217799.74,1,,Wahpeton Buried Valley,2945404.381,-217799.7398,,,743.31,738.31,bh_219,outside_grid,outside_grid
2945406.169_-217802.443,1,Clay,,2945406.169,-217802.4434,960.3353416,939.3353416,,,bh_220,drop,drop
2945406.169_-217802.443,2,Aquifer,,2945406.169,-217802.4434,939.3353416,936.3353416,,,bh_220,drop,drop
2945406.169_-217802.443,3,Clay,,2945406.169,-217802.4434,936.3353416,910.3353416,,,bh_220,drop,drop
2945406.169_-217802.443,4,Aquifer,,2945406.169,-217802.4434,910.3353416,897.3353416,,,bh_220,drop,drop
2945406.169_-217802.443,5,Clay,,2945406.169,-217802.4434,897.3353416,840.3353416,,,bh_220,drop,drop
2945406.169_-217802.443,6,Aquifer,,2945406.169,-217802.4434,840.3353416,830.3353416,,,bh_220,drop,drop
2945406.169_-217802.443,7,Clay,,2945406.169,-217802.4434,830.3353416,780.3353416,,,bh_220,drop,drop
2945406.169_-217802.443,8,Aquifer,Wahpeton,2945406.169,-217802.4434,780.3353416,730.3353416,,,bh_220,drop,drop
2945406.169_-217802.443,9,Bedrock,,2945406.169,-217802.4434,730.3353416,728.3353416,,,bh_220,drop,drop
2945549.82_-248088.157,1,Clay,,2945549.82,-248088.1568,956.7167526,776.7167526,,,bh_221,drop,drop
2945549.82_-248088.157,2,Aquifer,,2945549.82,-248088.1568,776.7167526,756.7167526,,,bh_221,drop,drop
2945581.975_-250808.803,1,Clay,,2945581.975,-250808.8034,957.0290429,910.0290429,,,bh_222,WSS,WSS
2945581.975_-250808.803,2,Aquifer,,2945581.975,-250808.8034,910.0290429,902.0290429,,,bh_222,WSS,WSS
2945581.975_-250808.803,3,Clay,,2945581.975,-250808.8034,902.0290429,882.0290429,,,bh_222,WSS,WSS
2945581.975_-250808.803,4,Aquifer,,2945581.975,-250808.8034,882.0290429,839.0290429,,,bh_222,WSS,WSS
2945581.975_-250808.803,5,Clay,,2945581.975,-250808.8034,839.0290429,710.0290429,,,bh_222,DC,DC
2945581.975_-250808.803,6,Bedrock,,2945581.975,-250808.8034,710.0290429,695.0290429,,,bh_222,DC,DC
